"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: metodoObjetivo","Param: rutaClases"
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,080567","0,082177","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1218,446350","1277,075162","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,853925","1,259277","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,087230","0,105353","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1323,791316","1622,480730","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,909007","0,783739","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,078594","0,078326","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1180,340987","1257,976584","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,713383","2,469379","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,081502","0,098503","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1236,497667","1528,262900","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,891833","0,931708","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"17,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,059559","0,121633","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"901,882951","1844,676106","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,910653","0,770495","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"3,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,119910","0,017416","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"4,000297","34,330923","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"0,036615","0,314291","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,111927","0,027648","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"7,499259","64,458166","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"0,077767","0,668564","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,124721","0,024893","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"4,798610","41,204490","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"0,041875","0,359612","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"0,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,081686","0,102556","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1234,577604","1599,970672","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,822209","1,532346","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"16,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,076239","0,073784","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1162,068179","1124,700679","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"16,000196","0,000189","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"15,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","thrpt",1,5,"0,086493","0,090999","ops/ns",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","thrpt",1,5,"1305,975532","1436,460513","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","thrpt",1,5,"15,806382","1,668489","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","thrpt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","thrpt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"11,822301","13,859266","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1391,402179","1825,622342","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,830524","1,460524","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"15,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"11,609402","11,407327","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1379,666616","1442,805259","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,881100","1,025069","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getId,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"11,914329","11,442284","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1345,897691","1412,705548","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,921714","0,674366","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getState,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"12,144561","12,295772","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1325,589037","1483,945482","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,870980","1,112292","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getEnabled,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"12,855584","15,604404","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1287,993595","1719,069008","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,880213","1,032872","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getOn,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"13,293346","4,478088","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1148,414710","394,130045","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,923404","0,660031","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSchedule,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"15,969714","19,442866","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1031,674937","1361,143526","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,828996","1,472691","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"3,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"11,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getConcurrency,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"20,174494","29,223388","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"876,526356","1723,891471","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,809505","1,642492","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"3,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"12,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCondition,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"7,977602","2,329621","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"10,341820","88,933674","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"0,098321","0,845663","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"1,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"5,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getSteps,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"11,950409","11,789108","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1344,173072","1468,262643","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,883379","1,005490","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"13,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getCancelInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","avgt",1,5,"11,369711","11,020117","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","avgt",1,5,"1405,156863","1428,501630","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","avgt",1,5,"15,882633","1,011847","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","avgt",1,5,"4,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","avgt",1,5,"14,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getRestartInProgress,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo","sample",1,65674,"76,197232","10,312060","ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate","sample",1,5,"672,247993","1430,519042","MB/sec",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.alloc.rate.norm","sample",1,5,"12,734713","26,528064","B/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.count","sample",1,5,"3,000000",NaN,"counts",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:gc.time","sample",1,5,"11,000000",NaN,"ms",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:p0.00","sample",1,1,"37,000000",NaN,"ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:p0.50","sample",1,1,"44,000000",NaN,"ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
"dinamica.MetodoBenchmark.medirMetodo:p0.90","sample",1,1,"50,000000",NaN,"ns/op",de.adorsys.keycloak.config.model.WorkflowRepresentation#getName,/home/tania/Documentos/ejemplojava/keycloak-config-cli-main/target/classes
